DNS lookup Time,Period1, Period2,Period3, SSL Handshake Start,Send Client Hello,Receive Certificate,SSL Handshake Finish
5.000000,0.506423,144.307791,1.100125,0.000000,0.000000,0.000000,0.000000
5.000000,0.278077,149.106008,1.133663,0.000000,0.000000,0.000000,0.000000
5.000000,0.291544,149.631978,0.865181,0.000000,0.000000,0.000000,0.000000
5.000000,0.467322,148.622123,0.915394,0.000000,0.000000,0.000000,0.000000
5.000000,0.336202,143.773763,1.088327,0.000000,0.000000,0.000000,0.000000
5.000000,0.691658,143.709013,0.385207,0.000000,0.000000,0.000000,0.000000
5.000000,0.555328,149.955109,0.870415,0.000000,0.000000,0.000000,0.000000
4.000000,0.684094,149.127738,0.421272,0.000000,0.000000,0.000000,0.000000
5.000000,0.333147,143.496323,0.832761,0.000000,0.000000,0.000000,0.000000
6.000000,0.383933,148.419225,0.999240,0.000000,0.000000,0.000000,0.000000
5.000000,0.570734,149.132885,0.331305,0.000000,0.000000,0.000000,0.000000
5.000000,0.312022,144.282444,0.880608,0.000000,0.000000,0.000000,0.000000
4.000000,0.593281,143.709488,0.507859,0.000000,0.000000,0.000000,0.000000
5.000000,0.730323,144.528727,0.348644,0.000000,0.000000,0.000000,0.000000
4.000000,0.289546,144.231900,0.355291,0.000000,0.000000,0.000000,0.000000
5.000000,0.280194,151.438969,0.883708,0.000000,0.000000,0.000000,0.000000
4.000000,0.273451,143.749661,0.886563,0.000000,0.000000,0.000000,0.000000
5.000000,0.291682,149.895111,1.026089,0.000000,0.000000,0.000000,0.000000
6.000000,0.295721,149.864915,0.862592,0.000000,0.000000,0.000000,0.000000
5.000000,0.291982,143.422740,0.892239,0.000000,0.000000,0.000000,0.000000
